route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,22N,False,High,Adjust service headway,218,0.0065
22N-202,22N,22N,22N - New Lynn / City Centre Via New North Rd,Bus,22N,False,Severe,Deploy standby bus or supervisor review,19,0.0006
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,22R,False,Low,No operational action required,13374,0.4006
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,22R,False,Medium,Monitor route conditions,8748,0.262
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,22R,False,High,Adjust service headway,232,0.0069
22R-202,22R,22R,22R - Rosebank Rd / City Centre Via New North Rd,Bus,22R,False,Severe,Deploy standby bus or supervisor review,38,0.0011
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,24B,False,Low,No operational action required,16520,0.4949
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,24B,False,Medium,Monitor route conditions,9756,0.2922
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,24B,False,High,Adjust service headway,144,0.0043
24B-202,24B,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,Bus,24B,False,Severe,Deploy standby bus or supervisor review,71,0.0021
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,24R,False,Low,No operational action required,15752,0.4718
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,24R,False,Medium,Monitor route conditions,7639,0.2288
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,24R,False,High,Adjust service headway,54,0.0016
24R-202,24R,24R,24R - New Lynn / City Centre Via Sandingham Rd,Bus,24R,False,Severe,Deploy standby bus or supervisor review,23,0.0007
252-202,252,252,252 - Lynfield / Civic Centre Via Dominion Rd,Bus,252,False,Low,No operational action required,902,0.027
252-202,252,252,252 - Lynfield / Civic Centre Via Dominion Rd,Bus,252,False,Medium,Monitor route conditions,264,0.0079
252-202,252,252,252 - Lynfield / Civic Centre Via Dominion Rd,Bus,252,False,Severe,Deploy standby bus or supervisor review,5,0.0001
253-202,253,253,253 - Blockhouse Bay / Civic Centre Via Dominion Rd,Bus,253,False,Low,No operational action required,993,0.0297
253-202,253,253,253 - Blockhouse Bay / Civic Centre Via Dominion Rd,Bus,253,False,Medium,Monitor route conditions,298,0.0089
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,25B,False,Low,No operational action required,24566,0.7359
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,25B,False,Medium,Monitor route conditions,8269,0.2477
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,25B,False,High,Adjust service headway,66,0.002
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,25B,False,Severe,Deploy standby bus or supervisor review,15,0.0004
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,25L,False,Low,No operational action required,26014,0.7792
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,25L,False,Medium,Monitor route conditions,7401,0.2217
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,25L,False,High,Adjust service headway,101,0.003
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,25L,False,Severe,Deploy standby bus or supervisor review,129,0.0039
