route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
377-203,377,377,377 - Papakura Interchange / Park Estate Loop,Bus,False,High,Adjust service headway,High action probability,2760,0.0827
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,False,Low,No operational action required,Low action probability,1751,0.0525
378-203,378,378,378 - Papakura Shops / Karaka Harbourside Loop And Karaka Lakes,Bus,False,Medium,Monitor route conditions,Moderate action probability,3443,0.1031
379-203,379,379,379 - Clarks Beach / Papakura,Bus,False,Low,No operational action required,Low action probability,2752,0.0824
379-203,379,379,379 - Clarks Beach / Papakura,Bus,False,Medium,Monitor route conditions,Moderate action probability,5597,0.1677
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,False,Low,No operational action required,Low action probability,12873,0.3856
38-203,38,38,38 - Airport / Onehunga via Mangere Town Centre,Bus,False,Medium,Monitor route conditions,Moderate action probability,19209,0.5754
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,False,Low,No operational action required,Low action probability,10607,0.3177
39-203,39,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,20619,0.6176
391-203,391,391,391 - Pukekohe Northeast Loop / Pukekohe Northeast loop,Bus,False,Low,No operational action required,Low action probability,8153,0.2442
391-203,391,391,391 - Pukekohe Northeast Loop / Pukekohe Northeast loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,24,0.0007
392-203,392,392,392 - Pukekohe Station,Bus,False,Low,No operational action required,Low action probability,3046,0.0912
392-203,392,392,392 - Pukekohe Station,Bus,False,Medium,Monitor route conditions,Moderate action probability,6019,0.1803
393-203,393,393,393 - Pukekohe South Loop,Bus,False,Low,No operational action required,Low action probability,8040,0.2408
393-203,393,393,393 - Pukekohe South Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,27,0.0008
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,False,Low,No operational action required,Low action probability,1796,0.0538
394-203,394,394,394 - Pukekohe Interchange / Paerata Rise Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,3822,0.1145
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,False,Low,No operational action required,Low action probability,435,0.013
395-203,395,395,395 - Waiuku / Papakura Interchange,Bus,False,Medium,Monitor route conditions,Moderate action probability,553,0.0166
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,False,Low,No operational action required,Low action probability,1643,0.0492
396-203,396,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,Bus,False,Medium,Monitor route conditions,Moderate action probability,2842,0.0851
501-217,501,501,501 - Kennedy Point / Matiatia Wharf,Bus,False,Low,No operational action required,Low action probability,2490,0.0746
501-217,501,501,501 - Kennedy Point / Matiatia Wharf,Bus,False,Medium,Monitor route conditions,Moderate action probability,4210,0.1261
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,False,Low,No operational action required,Low action probability,11745,0.3518
502-217,502,502,502 - Rocky Bay / Matiatia Wharf,Bus,False,Medium,Monitor route conditions,Moderate action probability,1725,0.0517
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,False,Low,No operational action required,Low action probability,11163,0.3344
50A-217,50A,50A,50A - Onetangi (Seventh Ave) / Matiatia Wharf,Bus,False,Medium,Monitor route conditions,Moderate action probability,1810,0.0542
50B-217,50B,50B,50B - Onetangi (Fourth Ave) / Matiatia Wharf,Bus,False,Low,No operational action required,Low action probability,9612,0.2879
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,False,Low,No operational action required,Low action probability,12589,0.3771
64-202,64,64,64 - St Lukes / Newmarket Via Mt Eden,Bus,False,Medium,Monitor route conditions,Moderate action probability,20109,0.6024
65-202,65,65,65 - Walker Park / Glen Innes,Bus,False,Low,No operational action required,Low action probability,8534,0.2556
65-202,65,65,65 - Walker Park / Glen Innes,Bus,False,Medium,Monitor route conditions,Moderate action probability,26325,0.7886
65-202,65,65,65 - Walker Park / Glen Innes,Bus,False,High,Adjust service headway,High action probability,720,0.0216
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,False,Low,No operational action required,Low action probability,11589,0.3471
66-203,66,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,19897,0.596
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,False,Low,No operational action required,Low action probability,2418,0.0724
67A-202,67A,67A,67A - New Lynn / Otahuhu Via Onehunga,Bus,False,Medium,Monitor route conditions,Moderate action probability,21635,0.6481
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,False,Low,No operational action required,Low action probability,1939,0.0581
67B-202,67B,67B,67B - New Lynn / Onehunga Only,Bus,False,Medium,Monitor route conditions,Moderate action probability,7582,0.2271
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,False,Low,No operational action required,Low action probability,2270,0.068
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,False,Medium,Monitor route conditions,Moderate action probability,19664,0.589
68-202,68,68,68 - New Lynn / Onehunga Station,Bus,False,High,Adjust service headway,High action probability,2339,0.0701
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,False,Low,No operational action required,Low action probability,10239,0.3067
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,False,Medium,Monitor route conditions,Moderate action probability,44170,1.3231
70-205,70,70,70 - Botany / Britomart Via Panmure,Bus,False,High,Adjust service headway,High action probability,4346,0.1302
70H-205,70H,70H,70H - Britomart / Howick And Botany Via Ellerslie And Panmure,Bus,False,Low,No operational action required,Low action probability,241,0.0072
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,False,Low,No operational action required,Low action probability,2734,0.0819
711-221,711,711,711 - Howick / Panmure Via Cascades Road,Bus,False,Medium,Monitor route conditions,Moderate action probability,5870,0.1758
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,False,Low,No operational action required,Low action probability,3543,0.1061
712-221,712,712,712 - Bucklands Beach / Panmure,Bus,False,Medium,Monitor route conditions,Moderate action probability,6237,0.1868
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,False,Low,No operational action required,Low action probability,15605,0.4674
72C-205,72C,72C,"72C - Botany And Howick / Panmure Via Chapel Rd, Cook St, And Pak",Bus,False,Medium,Monitor route conditions,Moderate action probability,1288,0.0386
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,False,Low,No operational action required,Low action probability,12524,0.3752
72M-205,72M,72M,"72M - Botany and Howick / Panmure via Millhouse Dr, Meadowland Dr",Bus,False,Medium,Monitor route conditions,Moderate action probability,1827,0.0547
